uid,jid,label,behavior_type,jd,skills,loc,Industry,job_level_jd,salary_mid,edu_req,exp_req,user_profile_text,user_skills,user_edu,user_active_loc,job_level_user,education_ordinal,job_level_ordinal,expected_salary_k,industry
REC_01502,JD_1328,3,投递,"BIM Coordinator | Real Estate | Tianjin | Level: Senior | Salary: 19k-23k/月. Manage 3D BIM models for clash detection during construction. Skills: 3D Modeling, Navisworks, Construction Knowledge","3D Modeling, Navisworks, Construction Knowledge",Tianjin,Real Estate,Senior,21.0,Bachelor's,5-10年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_0348,2,收藏,"PropTech Product Mgr | Real Estate | Guangzhou | Level: Senior | Salary: 22k-27k/月. Analyze search data to optimize residential property discovery. Skills: Product Management, Agile, UX/UI","Product Management, Agile, UX/UI",Guangzhou,Real Estate,Senior,24.5,Master's,3-5年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_0044,2,收藏,"Smart Building Arch | Real Estate | Beijing | Level: Intern | Salary: 5k-7k/月. Ensure the cybersecurity of operational technology (OT) networks. Skills: BMS Systems, IoT Architecture, Python, Systems Integration","BMS Systems, IoT Architecture, Python, Systems Integration",Beijing,Real Estate,Intern,6.0,High School,0年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_1647,1,点击,"Compliance Officer | FinTech | Tianjin | Level: Lead | Salary: 48k-58k/月. Coordinate with regulatory bodies to submit suspicious activity reports (SARs) accurately. Skills: Risk Assessment, Auditing","Risk Assessment, Auditing",Tianjin,FinTech,Lead,53.0,Bachelor's,5-10年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_0612,1,点击,"Energy Trader | Energy | Chongqing | Level: Lead | Salary: 29k-36k/月. Manage commodity price risk using derivatives and futures. Skills: Energy Markets, Python, Risk Management","Energy Markets, Python, Risk Management",Chongqing,Energy,Lead,32.5,Master's,5-10年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_0544,1,点击,"Fraud Analyst | FinTech | Suzhou | Level: Senior | Salary: 42k-52k/月. Tune rule-based fraud detection engines to balance false positive rates with fraud capture. Skills: Anomaly Detection, SQL","Anomaly Detection, SQL",Suzhou,FinTech,Senior,47.0,Bachelor's,10年以上,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_0459,0,无行为,"Warehouse Sys Analyst | Logistics | Shanghai | Level: Mid-level | Salary: 21k-25k/月. Configure and optimize WMS for complex put-away and picking logic. Skills: WMS (Manhattan/Blue Yonder), SQL, Process Optimization","WMS (Manhattan/Blue Yonder), SQL, Process Optimization",Shanghai,Logistics,Mid-level,23.0,High School,3-5年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_0286,0,无行为,"Route Optimization Eng | Logistics | Guangzhou | Level: Senior | Salary: 22k-26k/月. Integrate real-time traffic APIs to dynamically re-route delivery fleets. Skills: OR-Tools, GIS, C++","OR-Tools, GIS, C++",Guangzhou,Logistics,Senior,24.0,Bachelor's,3-5年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_1513,0,无行为,"Energy Trader | Energy | Hangzhou | Level: Junior | Salary: 15k-19k/月. Manage commodity price risk using derivatives and futures. Skills: Energy Markets, Algorithmic Trading","Energy Markets, Algorithmic Trading",Hangzhou,Energy,Junior,17.0,Bachelor's,0-1年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_01502,JD_0210,0,无行为,"Smart Building Arch | Real Estate | Shenzhen | Level: Lead | Salary: 23k-28k/月. Design IoT networks integrating HVAC, lighting, and security. Skills: BMS Systems",BMS Systems,Shenzhen,Real Estate,Lead,25.5,Master's,3-5年,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate","Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",Bachelor's,Shanghai,Senior,1.0,3,25.0,Real Estate
REC_02587,JD_0328,3,投递,"Materials Scientist | Manufacturing | Shanghai | Level: Mid-level | Salary: 19k-24k/月. Develop novel polymer composites to reduce weight of aerospace parts. Skills: Materials Science, Design of Experiments (DOE), Spectroscopy, Data Analysis","Materials Science, Design of Experiments (DOE), Spectroscopy, Data Analysis",Shanghai,Manufacturing,Mid-level,21.5,Bachelor's,5-10年,"Skills: Data Analysis, Signal Processing, MQTT/OPC-UA, Problem Solving, PLC Programming, Business Continuity, SCADA, Spectroscopy. Education: Master's. Level: Mid-level. Expected Title: Quality Control Spec. Industry: Manufacturing","Data Analysis, Signal Processing, MQTT/OPC-UA, Problem Solving, PLC Programming, Business Continuity, SCADA, Spectroscopy",Master's,Wuhan,Mid-level,2.0,2,25.0,Manufacturing
