record_id,years_experience,expected_salary_k,age,weekly_hours,num_applications,gender,job_level,industry,city,education_level,political_affiliation,expected_title,skills,education_ordinal,job_level_ordinal,ground_truth_jd_id
REC_00001,5.0,24.0,28.0,50.8,,Male,Senior,E-Commerce,Guangzhou,Master's,CPC Member,Specialist Personalization,"UX Research, Supply Chain Management, Customer Analytics, Data Visualization, Growth Marketing, Google Ads",2.0,3,JD_0451
REC_00002,12.0,20.0,34.0,45.7,7.0,Female,Senior,Education Technology,Chongqing,Master's,Non-affiliated,UX Researcher (Edu),"Wireframing, Operations Management, Cloud Computing, R, Machine Learning",2.0,3,JD_0961
REC_00003,2.0,15.0,22.0,43.9,6.0,Male,Junior,Real Estate,Chongqing,Master's,CPC Member,BIM Coordinator,"Excel, Revit, IoT Architecture, Negotiation, GIS (ArcGIS)",2.0,1,JD_0673
REC_00004,12.0,32.0,35.0,55.2,11.0,Female,Manager,Telecom,Beijing,Master's,,Signal Processing Eng,"NFV/SDN, Networking (QoS), DSP, Data Analysis, Wireshark, Linux",2.0,5,JD_0304
REC_00005,1.0,15.0,,39.3,7.0,Female,Junior,Education Technology,Shenzhen,High School,Non-affiliated,LMS Architect,"Database Design, Data Visualization, R, Qualitative Research, UI/UX Design, A/B Testing",0.0,1,JD_1492
REC_00006,2.0,20.0,26.0,50.7,11.0,Female,Mid-level,Manufacturing,Wuhan,Bachelor's,CPC Member,Integrator IIoT,"SPC, Risk Management, System Integration, Lean Manufacturing, Kinematics, Edge Computing",1.0,2,JD_1049
REC_00007,0.0,10.0,24.0,45.1,5.0,Male,Junior,Telecom,Chongqing,Bachelor's,Non-affiliated,5G Network Architect,"SIP/VoIP, Linux, SQL, Infrastructure, Troubleshooting, Data Analysis, Leadership",1.0,1,JD_0518
REC_00008,14.0,38.0,39.0,42.1,9.0,Male,Lead,Gaming,Tianjin,Bachelor's,Non-affiliated,Gameplay Programmer,"Scripting (Lua/Python), Economy Modeling, Game Engines, UI/UX Design, Project Management, Data Visualization, Live Operations",1.0,4,JD_1611
REC_00009,1.0,9.0,25.0,54.7,6.0,Male,Junior,Education Technology,Shenzhen,Master's,Non-affiliated,Curriculum Data Scientist,"User Research, Cloud Computing, Scheduling Algorithms, Instructional Design, UI/UX Design",2.0,1,JD_0528
REC_00010,5.0,24.0,26.0,48.7,18.0,Female,Mid-level,E-Commerce,Shanghai,Master's,Non-affiliated,LTV Analyst,"C++, ERP Systems, IoT, PIM systems, Learning to Rank",2.0,2,JD_0583
REC_00011,2.0,15.0,,,9.0,Male,Mid-level,E-Commerce,Chengdu,Bachelor's,Non-affiliated,Marketer Digital,"Copywriting, A/B Testing, Recommendation Systems, Data Visualization, Figma, Growth Marketing, Supply Chain Management",1.0,2,JD_0643
REC_00012,7.0,14.0,33.0,43.6,6.0,Female,Mid-level,E-Commerce,Nanjing,High School,Non-affiliated,Catalog Manager,"ROS, Figma, SQL, PIM systems, Web Analytics, SEO/SEM, Learning to Rank, Google Ads",0.0,2,JD_1784
REC_00013,8.0,,33.0,50.6,10.0,Male,Senior,Logistics,Chengdu,Master's,Non-affiliated,Inventory Controller,"IoT Security, Analytical Skills, Risk Assessment, Logistics Coordination, Physical Security, ERP Systems, Python, SQL",2.0,3,JD_0029
REC_00014,15.0,43.0,42.0,45.1,8.0,Female,Lead,Manufacturing,Xi'an,Ph.D.,Non-affiliated,Production Scheduler,"Digital Twin, Data Analysis, Industry 4.0, Manufacturing Execution Systems (MES), Problem Solving",3.0,4,JD_1410
REC_00015,12.0,31.0,39.0,36.2,7.0,Male,Senior,Gaming,Xi'an,Master's,CPC Member,Technical Narrative,"Assembly, Cloud Architecture (AWS), Databases, Python, 3D Math",2.0,3,JD_0677
REC_00016,1.0,6.0,,36.0,14.0,Female,Intern,Telecom,,Master's,,Developer OSS/BSS,"Optical Engineering, SBC Config, GIS (ArcGIS/QGIS), Java, Technical Writing",2.0,0,JD_0100
REC_00017,,30.0,37.0,38.1,11.0,Male,Lead,Logistics,Chengdu,Bachelor's,Non-affiliated,Supply Chain Security,"Data Analysis, Process Optimization, ERP Systems, SQL, Logistics Planning, Kafka, IoT Platforms, Python",1.0,4,JD_1143
