,Industry,Job Title,Responsibilities,Skills,base_location,job_level,salary,salary_mid,jd_id,jd_text,edu_req,exp_req,working_hours
0,Retail,Visual Merchandiser,Conduct A/B testing on store planograms to maximize conversion.,"Visual Merchandising, Space Planning, Data Analysis",Shanghai,Junior,9k-11k/月,10.0,JD_0000,"Visual Merchandiser | Retail | Shanghai | Level: Junior | Salary: 9k-11k/月. Conduct A/B testing on store planograms to maximize conversion. Skills: Visual Merchandising, Space Planning, Data Analysis",Bachelor's,0-1年,45-50
1,Energy,Sustainability Consultant,Prepare ESG reports for TCFD and SASB compliance.,"Carbon Accounting, Sustainability Strategy, ESG Reporting, Consulting",Chongqing,Senior,16k-19k/月,17.5,JD_0001,"Sustainability Consultant | Energy | Chongqing | Level: Senior | Salary: 16k-19k/月. Prepare ESG reports for TCFD and SASB compliance. Skills: Carbon Accounting, Sustainability Strategy, ESG Reporting, Consulting",Bachelor's,1-3年,>60
2,FinTech,Blockchain Developer,Conduct rigorous security audits on Solidity codebases to prevent reentrancy and flash loan attacks.,"Solidity, Ethereum, Web3.js",Tianjin,Junior,17k-20k/月,18.5,JD_0002,"Blockchain Developer | FinTech | Tianjin | Level: Junior | Salary: 17k-20k/月. Conduct rigorous security audits on Solidity codebases to prevent reentrancy and flash loan attacks. Skills: Solidity, Ethereum, Web3.js",Bachelor's,1-3年,40-45
3,Real Estate,Urban Planner (Tech),Utilize GIS for spatial analysis of new development sites.,"GIS (ArcGIS), AutoCAD, Environmental Regs, Data Visualization",Wuhan,Junior,7k-8k/月,7.5,JD_0003,"Urban Planner (Tech) | Real Estate | Wuhan | Level: Junior | Salary: 7k-8k/月. Utilize GIS for spatial analysis of new development sites. Skills: GIS (ArcGIS), AutoCAD, Environmental Regs, Data Visualization",Bachelor's,3-5年,40-45
4,Telecom,Spectrum Manager,Conduct interference studies for regulatory compliance.,"Regulatory Compliance, Spectrum Analysis, RF Engineering, Data Analysis",Wuhan,Senior,13k-15k/月,14.0,JD_0004,"Spectrum Manager | Telecom | Wuhan | Level: Senior | Salary: 13k-15k/月. Conduct interference studies for regulatory compliance. Skills: Regulatory Compliance, Spectrum Analysis, RF Engineering, Data Analysis",Master's,3-5年,>60
5,FinTech,Credit Scorer,Perform reject inference to correct sample bias in historical loan approval datasets.,"XGBoost, Credit Risk Modeling, Python",Zhengzhou,Senior,29k-36k/月,32.5,JD_0005,"Credit Scorer | FinTech | Zhengzhou | Level: Senior | Salary: 29k-36k/月. Perform reject inference to correct sample bias in historical loan approval datasets. Skills: XGBoost, Credit Risk Modeling, Python",Bachelor's,10年以上,40-45
6,Retail,Category Manager,Develop markdown strategies to optimize seasonal inventory turnover.,"Pricing Strategy, Data Analysis, Negotiation",Shanghai,Director,25k-31k/月,28.0,JD_0006,"Category Manager | Retail | Shanghai | Level: Director | Salary: 25k-31k/月. Develop markdown strategies to optimize seasonal inventory turnover. Skills: Pricing Strategy, Data Analysis, Negotiation",Master's,10年以上,50-60
7,Telecom,VoIP Admin,Troubleshoot call flow issues using packet capture analysis.,SBC Config,Tianjin,Mid-level,15k-18k/月,16.5,JD_0007,VoIP Admin | Telecom | Tianjin | Level: Mid-level | Salary: 15k-18k/月. Troubleshoot call flow issues using packet capture analysis. Skills: SBC Config,Bachelor's,5-10年,40-45
8,Real Estate,Investment Analyst,Perform financial due diligence on multi-family assets.,"Underwriting, Due Diligence",Guangzhou,Lead,19k-24k/月,21.5,JD_0008,"Investment Analyst | Real Estate | Guangzhou | Level: Lead | Salary: 19k-24k/月. Perform financial due diligence on multi-family assets. Skills: Underwriting, Due Diligence",Bachelor's,3-5年,50-60
9,FinTech,Actuarial Scientist,Evaluate the impact of climate change on long-tail casualty insurance lines.,"Actuarial Modeling, GLM, R, SAS",Shanghai,Senior,43k-53k/月,48.0,JD_0009,"Actuarial Scientist | FinTech | Shanghai | Level: Senior | Salary: 43k-53k/月. Evaluate the impact of climate change on long-tail casualty insurance lines. Skills: Actuarial Modeling, GLM, R, SAS",Bachelor's,1-3年,45-50
10,Energy,Power Plant Manager,Manage critical response protocols during forced outages.,"Plant Operations, Thermodynamics, Operations Management, Troubleshooting",Nanjing,Lead,27k-32k/月,29.5,JD_0010,"Power Plant Manager | Energy | Nanjing | Level: Lead | Salary: 27k-32k/月. Manage critical response protocols during forced outages. Skills: Plant Operations, Thermodynamics, Operations Management, Troubleshooting",Bachelor's,5-10年,50-60
